Column,Name,Description,Values,Understanding Correct? (Y/N + notes)
A,Date,Dispatch date (timestamp of the dispatch/state-3 message),"Date. Example: 2026-06-11. Accepts datetime, DD/MM/YYYY (e.g. 14/1/2025), and relative words (today/tomorrow/Tuesday) resolved against message date.",
B,REF,Sample reference / lot number,"Text. Example: SL-7346. Formats: SL-#### (Specialty Lot). Explicit in chat or looked up from the lot discussed.",
C,Outturn,Milling outturn / warehouse mark,"Text. Example: 17KN0076 (##XX#### = year + origin + serial; KN=Kenya). Given by lab; rarely in casual chat.",
D,Name,Estate / station / mark name (the coffee being sent),"Text. Examples: KABINGARA/KIRINYAGA, AA SANGALAI, AA Swara.",
E,GRADE,Screen / quality grade,"Enum+. AA (largest 17/18), AB (screen 15/16), PB (peaberry), C (smaller than AB), E (elephant), TT (winnowed lighter beans). Also HE/MH/ML/NH (inferred Mbuni grades - CONFIRM). Modifiers: TOP, PLUS, FAQ, SC 17.",
F,Bags,Number of bags in the source lot,"Number. Example: 732 (from 'we have 732 bags of AB').",
G,Description,Purpose / sample context (free text reason),"Text. Example: WOC samples (WOC = World of Coffee expo - inferred, CONFIRM).",
H,Receiver/Company,Who receives it (external client OR internal Sucafina office),"Text. Examples: sucafina NV, Geneva, Key Coffee. Resolve against Client Details. Internal destinations (Sucafina NV / Geneva / China office) flagged distinctly from end clients.",
I,AWB#,Courier tracking / air waybill number,"Text (digits only). Example: 7726241423. Strip all non-digits; store as string to preserve leading zeros.",
J,Courier,Carrier,"Enum: DHL, FedEx, UPS, Kiptoo, Rider, Wells Fargo, Hand Delivery, Picked by Client, SGS Kenya. Case-insensitive match, collapse whitespace, map to canonical.",
K,Qty,Quantity sent,"Text/number. Examples: 500, 1KG. Bare numbers = grams; 1KG = 1000g. Recommend normalizing to {value, unit}.",
L,Delivery date,Date received,"Date. From delivery-confirmation message (state 4).",
M,Result,Cupping outcome,"Enum: Approved, Rejected, Pending. Mostly empty on this sheet - most Specialty samples never get a logged verdict.",
N,Comments,Tasting notes / remarks,"Text. Cupping notes body.",
O,Crop Year,Harvest year,"Text. Example: 2025/2026. From lot metadata / crop discussion (rarely in chat).",
P,Crop/Area Details,Origin region detail,"Text. Growing area / county (rarely in chat).",
